airline,year_month,freight_in_tonnes,rolling_average_freight_in_tonnes
Air Caledonie International,2018-01-01,2.942,7.518000000000001
Air Caledonie International,2018-02-01,4.546,6.741333333333333
Air Caledonie International,2018-03-01,4.184,3.8906666666666667
Air Caledonie International,2018-04-01,8.042,5.5906666666666665
Air Caledonie International,2018-05-01,2.332,4.852666666666667
Air Caledonie International,2018-06-01,4.765,5.046333333333333
Air Caledonie International,2018-07-01,2.681,3.2593333333333327
Air Caledonie International,2018-08-01,7.005,4.817
Air Caledonie International,2018-09-01,4.509,4.7316666666666665
Air Caledonie International,2018-10-01,4.714,5.4093333333333335
Air Caledonie International,2018-11-01,3.119,4.114000000000001
Air Caledonie International,2018-12-01,1.92,3.251
Air Canada,2018-01-01,268.328,352.9983333333333
Air Canada,2018-02-01,242.434,322.4676666666666
Air Canada,2018-03-01,336.101,282.28766666666667
Air Canada,2018-04-01,389.111,322.54866666666663
Air Canada,2018-05-01,433.189,386.13366666666667
Air Canada,2018-06-01,522.835,448.3783333333334
Air Canada,2018-07-01,370.029,442.0176666666667
Air Canada,2018-08-01,438.725,443.863
Air Canada,2018-09-01,338.763,382.5056666666667
Air Canada,2018-10-01,339.253,372.247
Air Canada,2018-11-01,340.477,339.49766666666665
Air Canada,2018-12-01,375.061,351.597
Air China,2018-01-01,915.455,959.0966666666667
Air China,2018-02-01,645.869,837.3293333333332
Air China,2018-03-01,594.755,718.6929999999999
Air China,2018-04-01,580.109,606.9110000000001
Air China,2018-05-01,546.435,573.7663333333334
Air China,2018-06-01,483.888,536.8106666666666
Air China,2018-07-01,390.908,473.74366666666657
Air China,2018-08-01,346.018,406.93799999999993
Air China,2018-09-01,356.815,364.58033333333333
Air China,2018-10-01,403.666,368.8329999999999
Air China,2018-11-01,343.36,367.94699999999995
Air China,2018-12-01,582.127,443.05099999999993
Air India,2018-01-01,143.658,195.0383333333333
Air India,2018-02-01,178.626,176.83766666666665
Air India,2018-03-01,161.396,161.2266666666666
Air India,2018-04-01,118.285,152.76899999999998
Air India,2018-05-01,114.179,131.28666666666663
Air India,2018-06-01,117.306,116.58999999999996
Air India,2018-07-01,132.568,121.35099999999996
Air India,2018-08-01,140.629,130.16766666666663
Air India,2018-09-01,188.073,153.75666666666663
Air India,2018-10-01,240.194,189.63199999999995
Air India,2018-11-01,243.853,224.03999999999996
Air India,2018-12-01,165.693,216.57999999999996
Air Mauritius,2018-01-01,58.99,68.72066666666663
Air Mauritius,2018-02-01,42.747,55.58399999999997
Air Mauritius,2018-03-01,38.961,46.899333333333296
Air Mauritius,2018-04-01,30.694,37.46733333333329
Air Mauritius,2018-05-01,36.567,35.4073333333333
Air Mauritius,2018-06-01,18.443,28.56799999999996
Air Mauritius,2018-07-01,36.434,30.481333333333296
Air Mauritius,2018-08-01,54.733,36.536666666666626
Air Mauritius,2018-09-01,59.993,50.38666666666663
Air Mauritius,2018-10-01,53.25,55.99199999999996
Air Mauritius,2018-11-01,48.86,54.0343333333333
Air Mauritius,2018-12-01,54.777,52.29566666666663
Air New Zealand,2018-01-01,3065.998,2907.157333333333
Air New Zealand,2018-02-01,2998.86,3044.5633333333335
